Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      8.79     0.00    10001     0.00     0.00  std::operator==(std::_Deque_iterator<int, int&, int*> const&, std::_Deque_iterator<int, int&, int*> const&)
  0.00      8.79     0.00    10000     0.00     0.00  void __gnu_cxx::new_allocator<int>::destroy<int>(int*)
  0.00      8.79     0.00    10000     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::operator++()
  0.00      8.79     0.00    10000     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00      8.79     0.00    10000     0.00     0.00  std::_Deque_iterator<int, int&, int*>::operator*() const
  0.00      8.79     0.00    10000     0.00     0.00  std::_Deque_iterator<int, int&, int*>::operator--()
  0.00      8.79     0.00    10000     0.00     0.00  void std::allocator_traits<std::allocator<int> >::destroy<int>(std::allocator<int>&, int*)
  0.00      8.79     0.00    10000     0.00     0.00  std::deque<int, std::allocator<int> >::back()
  0.00      8.79     0.00    10000     0.00     0.00  std::deque<int, std::allocator<int> >::pop_back()
  0.00      8.79     0.00    10000     0.00     0.00  std::deque<int, std::allocator<int> >::push_back(int const&)
  0.00      8.79     0.00    10000     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::pop()
  0.00      8.79     0.00    10000     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::top()
  0.00      8.79     0.00    10000     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      8.79     0.00     8449     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      8.79     0.00     8050     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      8.79     0.00     7336     0.00     0.00  std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
  0.00      8.79     0.00     6031     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      8.79     0.00     5646     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      8.79     0.00     5633     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      8.79     0.00     5633     0.00     0.00  std::allocator<int>::~allocator()
  0.00      8.79     0.00     4979     0.00     0.00  __gnu_cxx::new_allocator<int>::_M_max_size() const
  0.00      8.79     0.00     4836     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      8.79     0.00     4780     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.00      8.79     0.00     4437     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00      8.79     0.00     4437     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      8.79     0.00     4437     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      8.79     0.00     4437     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      8.79     0.00     4437     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      8.79     0.00     4437     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      8.79     0.00     4437     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      8.79     0.00     4437     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      8.79     0.00     4094     0.00     0.00  std::remove_reference<std::_Vector_base<int, std::allocator<int> >::_Vector_impl&>::type&& std::move<std::_Vector_base<int, std::allocator<int> >::_Vector_impl&>(std::_Vector_base<int, std::allocator<int> >::_Vector_impl&)
  0.00      8.79     0.00     4094     0.00     0.00  std::vector<int, std::allocator<int> >&& std::forward<std::vector<int, std::allocator<int> > >(std::remove_reference<std::vector<int, std::allocator<int> > >::type&)
  0.00      8.79     0.00     3613     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      8.79     0.00     2523     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      8.79     0.00     2496     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      8.79     0.00     2496     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      8.79     0.00     2483     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      8.79     0.00     2483     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      8.79     0.00     2483     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      8.79     0.00     2483     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      8.79     0.00     2440     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::base() const
  0.00      8.79     0.00     2418     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      8.79     0.00     2418     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      8.79     0.00     2418     0.00     0.00  std::vector<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  0.00      8.79     0.00     2418     0.00     0.00  std::vector<int, std::allocator<int> >::_S_relocate(int*, int*, int*, std::allocator<int>&)
  0.00      8.79     0.00     2418     0.00     0.00  std::vector<int, std::allocator<int> >::_S_do_relocate(int*, int*, int*, std::allocator<int>&, std::integral_constant<bool, true>)
  0.00      8.79     0.00     2418     0.00     0.00  int* std::__relocate_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  0.00      8.79     0.00     2418     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<int, void>::value, int*>::type std::__relocate_a_1<int, int>(int*, int*, int*, std::allocator<int>&)
  0.00      8.79     0.00     2404     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      8.79     0.00     2402     0.00     0.00  std::vector<int, std::allocator<int> > const& std::forward<std::vector<int, std::allocator<int> > const&>(std::remove_reference<std::vector<int, std::allocator<int> > const&>::type&)
  0.00      8.79     0.00     2390     0.00     0.00  std::vector<int, std::allocator<int> >::end() const
  0.00      8.79     0.00     2390     0.00     0.00  std::vector<int, std::allocator<int> >::begin() const
  0.00      8.79     0.00     2390     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.00      8.79     0.00     2390     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      8.79     0.00     2390     0.00     0.00  int const* std::__niter_base<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      8.79     0.00     2047     0.00     0.00  void __gnu_cxx::new_allocator<std::vector<int, std::allocator<int> > >::destroy<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*)
  0.00      8.79     0.00     2047     0.00     0.00  void __gnu_cxx::new_allocator<std::vector<int, std::allocator<int> > >::construct<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >&&)
  0.00      8.79     0.00     2047     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::_Vector_base<int, std::allocator<int> >::_Vector_impl&&)
  0.00      8.79     0.00     2047     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data(std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data&&)
  0.00      8.79     0.00     2047     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(std::_Vector_base<int, std::allocator<int> >&&)
  0.00      8.79     0.00     2047     0.00     0.00  void std::allocator_traits<std::allocator<std::vector<int, std::allocator<int> > > >::destroy<std::vector<int, std::allocator<int> > >(std::allocator<std::vector<int, std::allocator<int> > >&, std::vector<int, std::allocator<int> >*)
  0.00      8.79     0.00     2047     0.00     0.00  void std::allocator_traits<std::allocator<std::vector<int, std::allocator<int> > > >::construct<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > >(std::allocator<std::vector<int, std::allocator<int> > >&, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >&&)
  0.00      8.79     0.00     2047     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> >&&)
  0.00      8.79     0.00     2047     0.00     0.00  void std::__relocate_object_a<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::allocator<std::vector<int, std::allocator<int> > >&)
  0.00      8.79     0.00     2047     0.00     0.00  std::remove_reference<std::vector<int, std::allocator<int> >&>::type&& std::move<std::vector<int, std::allocator<int> >&>(std::vector<int, std::allocator<int> >&)
  0.00      8.79     0.00     1227     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      8.79     0.00     1209     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      8.79     0.00     1209     0.00     0.00  std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const
  0.00      8.79     0.00     1209     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_realloc_insert<int const&>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&)
  0.00      8.79     0.00     1209     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      8.79     0.00     1209     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00      8.79     0.00     1196     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
